Index,Company,Category,Score,Score_Adjusted
2019,Alibaba,G,NA,NA
2019,Alibaba,F,NA,NA
2019,Alibaba,P,NA,NA
2019,Amazon,G,NA,NA
2019,Amazon,F,NA,NA
2019,Amazon,P,NA,NA
2019,AmericaMovil,G,25.15,25.15
2019,AmericaMovil,F,20.45,20.45
2019,AmericaMovil,P,23.46,23.46
2019,Apple,G,23.56,23.56
2019,Apple,F,40.16,40.16
2019,Apple,P,54.47,54.47
2019,ATT,G,44.91,44.91
2019,ATT,F,46.79,46.79
2019,ATT,P,45.76,45.76
2019,Axiata,G,6.33,6.33
2019,Axiata,F,14.2,14.2
2019,Axiata,P,13.97,13.97
2019,Baidu,G,4.99,4.99
2019,Baidu,F,14.35,14.35
2019,Baidu,P,29.93,29.93
2019,Bharti Airtel,G,16.51,16.51
2019,Bharti Airtel,F,9.81,9.81
2019,Bharti Airtel,P,16.84,16.84
2019,DeutscheTelekom,G,42.9,42.9
2019,DeutscheTelekom,F,16.69,16.69
2019,DeutscheTelekom,P,55.29,55.29
2019,Etisalat,G,2.47,2.47
2019,Etisalat,F,17.5,17.5
2019,Etisalat,P,3.43,3.43
2019,Facebook,G,54.78,54.78
2019,Facebook,F,49.77,49.77
2019,Facebook,P,51.53,51.53
2019,Google,G,50.37,50.37
2019,Google,F,68.06,68.06
2019,Google,P,55.61,55.61
2019,Mail.Ru,G,4.17,4.17
2019,Mail.Ru,F,25.74,25.74
2019,Mail.Ru,P,21.87,21.87
2019,Microsoft,G,69.75,69.75
2019,Microsoft,F,55.9,55.9
2019,Microsoft,P,56.02,56.02
2019,MTN,G,27.16,27.16
2019,MTN,F,9.62,9.62
2019,MTN,P,10.78,10.78
2019,Ooredoo,G,0,0
2019,Ooredoo,F,14.89,14.89
2019,Ooredoo,P,0,0
2019,Orange,G,59.88,59.88
2019,Orange,F,18.83,18.83
2019,Orange,P,27.83,27.83
2019,Samsung,G,24.07,24.07
2019,Samsung,F,32.18,32.18
2019,Samsung,P,23.96,23.96
2019,Telefonica,G,84.57,84.57
2019,Telefonica,F,53.9,53.9
2019,Telefonica,P,45.85,45.85
2019,Telenor,G,57.41,57.41
2019,Telenor,F,37.82,37.82
2019,Telenor,P,36.8,36.8
2019,Tencent,G,2.78,2.78
2019,Tencent,F,15.83,15.83
2019,Tencent,P,35.06,35.06
2019,Twitter,G,37.96,37.96
2019,Twitter,F,72.3,72.3
2019,Twitter,P,57.45,57.45
2019,Verizon Media,G,69.14,69.14
2019,Verizon Media,F,48.33,48.33
2019,Verizon Media,P,54.79,54.79
2019,Vodafone,G,57.72,57.72
2019,Vodafone,F,51.48,51.48
2019,Vodafone,P,42.37,42.37
2019,Yandex,G,20.99,20.99
2019,Yandex,F,28.11,28.11
2019,Yandex,P,34.55,34.55
2020,Alibaba,G,4.1,4.55
